Date,Spot,Expiry,DaysToExpiry,CallDelta,PutDelta,PerpDelta,TotalDelta,Cost,Value,UnrealizedPnL,RealizedPnL,TotalAsset,Return
2022-01-01,47686.8125,2022-02-25,55,102.15478241620845,-83.32464834924852,0.0,3511.1210717884405,168355729.9562479,168355729.9562479,0.0,0.0,168355729.9562479,0.0
2022-01-02,47345.21875,2022-02-25,54,0.0,0.0,0.0,0.0,168355729.9562479,166781177.39009422,-1574552.5661536753,0.0,166781177.39009422,-0.009352533273223718
2022-01-03,46458.1171875,2022-02-25,53,94.66611051298486,-92.70816350980725,-3511.1210717884405,-3146.036630230252,482067837.4985492,17759775.06815676,-464308062.43039244,0.0,17759775.06815676,-0.9631591786742872
2022-01-04,45897.57421875,2022-02-25,52,0.0,0.0,0.0,0.0,482067837.4985492,17584635.50454885,-464483201.9940004,0.0,17584635.50454885,-0.9635224876320404
2022-01-05,43569.00390625,2022-02-25,51,71.20884886442333,-113.44721662219544,-365.0844415581887,-8240.972236349999,1154541366.193968,343652723.4527998,-810888642.7411683,0.0,343652723.4527998,-0.7023469807879845
2022-01-06,43160.9296875,2022-02-25,50,0.0,0.0,0.0,0.0,1154541366.193968,340638101.9652395,-813903264.2287285,0.0,340638101.9652395,-0.7049580795115393
2022-01-07,41557.90234375,2022-02-25,49,49.817443023052306,-123.61085989511733,7875.88779479181,-5883.845408244633,2071702808.362789,573134158.0030353,-1498568650.3597536,0.0,573134158.0030353,-0.7233511700184604
2022-01-08,41733.94140625,2022-02-25,48,0.0,0.0,0.0,0.0,2071702808.362789,574874233.2199928,-1496828575.142796,0.0,574874233.2199928,-0.7225112449047166
2022-01-09,41911.6015625,2022-02-25,47,60.21504858404352,-123.80486765106745,13759.733203036443,1902.5922563236472,3068697946.304999,498219857.20571387,-2570478089.099285,0.0,498219857.20571387,-0.8376445430852465
2022-01-10,41821.26171875,2022-02-25,46,0.0,0.0,0.0,0.0,3068697946.304999,496822893.6038287,-2571875052.70117,0.0,496822893.6038287,-0.8380997731620832
2022-01-11,42735.85546875,2022-02-25,45,66.98205353925994,-118.7195615968876,11857.140946712796,2210.01607245593,4159934286.3368015,412231295.2922682,-3747702991.0445333,0.0,412231295.2922682,-0.9009043732622817
2022-01-12,43949.1015625,2022-02-25,44,0.0,0.0,0.0,0.0,4159934286.3368015,424360036.8308588,-3735574249.505943,0.0,424360036.8308588,-0.8979887643358554
2022-01-13,42591.5703125,2022-02-25,43,63.14037782748022,-120.40223670541386,9647.124874256866,-1030.086376663783,5295018973.01186,455262269.3095898,-4839756703.7022705,0.0,455262269.3095898,-0.9140206538201255
2022-01-14,43099.69921875,2022-02-25,42,0.0,0.0,0.0,0.0,5295018973.01186,461025645.1950606,-4833993327.816799,0.0,461025645.1950606,-0.9129322014623822
2022-01-15,43177.3984375,2022-02-25,41,64.6214729244041,-119.10106017483518,10677.211250920649,518.7903869417569,6452444882.976876,438081933.6045953,-6014362949.372281,0.0,438081933.6045953,-0.9321060556812562
2022-01-16,43113.87890625,2022-02-25,40,0.0,0.0,0.0,0.0,6452444882.976876,439748737.8848245,-6012696145.0920515,0.0,439748737.8848245,-0.9318477343301313
2022-01-17,42250.55078125,2022-02-25,39,57.146640193139284,-126.63174078359339,10158.420863978892,-2797.971267427276,7728149395.749837,548324409.6023885,-7179824986.147449,0.0,548324409.6023885,-0.9290484200649712
2022-01-18,42375.6328125,2022-02-25,38,0.0,0.0,0.0,0.0,7728149395.749837,549856479.5494325,-7178292916.200404,0.0,549856479.5494325,-0.9288501746806511
2022-01-19,41744.328125,2022-02-25,37,50.52193741995769,-135.86856828166066,12956.392131406168,-2957.586651701591,9127462255.435509,665721707.5318304,-8461740547.903678,0.0,665721707.5318304,-0.9270638772419589
2022-01-20,40680.41796875,2022-02-25,36,0.0,0.0,0.0,0.0,9127462255.435509,649553230.506051,-8477909024.929458,0.0,649553230.506051,-0.9288352871446568
2022-01-21,36457.31640625,2022-02-25,35,14.773619661406201,-165.37582487797943,15913.97878310776,-12167.74247885284,10970764618.65307,1025537372.0158616,-9945227246.637209,0.0,1025537372.0158616,-0.9065208845815369
2022-01-22,35030.25,2022-02-25,34,0.0,0.0,0.0,0.0,10970764618.65307,985179776.7941173,-9985584841.858953,0.0,985179776.7941173,-0.9101995338484372
2022-01-23,36276.8046875,2022-02-25,33,20.75443880058382,-170.04199328998104,28081.7212619606,245.1335637768425,12822960806.468384,1010475124.3150119,-11812485682.153372,0.0,1010475124.3150119,-0.9211979869886766
2022-01-24,36654.328125,2022-02-25,32,0.0,0.0,0.0,0.0,12822960806.468384,1020698725.998264,-11802262080.47012,0.0,1020698725.998264,-0.9204006982940021
2022-01-25,36954.00390625,2022-02-25,31,11.156408302128469,-164.7377294332287,27836.587698183757,-800.6281038369525,14704729331.27932,1058516664.1346787,-13646212667.144642,0.0,1058516664.1346787,-0.9280152228383393
2022-01-26,36852.12109375,2022-02-25,30,0.0,0.0,0.0,0.0,14704729331.27932,1055041150.6501245,-13649688180.629196,0.0,1055041150.6501245,-0.9282515762866929
2022-01-27,37138.234375,2022-02-25,29,13.403485295318903,-170.58719930364498,28637.21580202071,-671.7125589818097,16611426936.134544,1088391091.6287193,-15523035844.505825,0.0,1088391091.6287193,-0.9344793739988007
2022-01-28,37784.33203125,2022-02-25,28,0.0,0.0,0.0,0.0,16611426936.134544,1106701403.7565882,-15504725532.377956,0.0,1106701403.7565882,-0.9333771019183668
